id|name|description|instructions|glass_type|thumbnail|portions
2|155 Belmont||Blend with ice. Serve in a wine glass. Garnish with carrot.|White wine glass|https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg|"{""Vodka"": ""1 shot "", ""Dark rum"": ""1 shot "", ""Light rum"": ""2 shots "", ""Orange juice"": ""1 shot ""}"
3|3-Mile Long Island Iced Tea||Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg|"{""Gin"": ""1/2 oz"", ""Lemon"": ""Garnish with"", ""Vodka"": ""1/2 oz"", ""Bitters"": ""1 wedge "", ""Tequila"": ""1/2 oz"", ""Coca-Cola"": ""1/2 oz"", ""Light rum"": ""1/2 oz"", ""Triple sec"": ""1/2 oz"", ""Sweet and sour"": ""1-2 dash ""}"
4|A Furlong Too Late||Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.|Highball glass|https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg|"{""Light rum"": ""2 oz "", ""Lemon peel"": ""1 twist of "", ""Ginger beer"": ""4 oz ""}"
5|A Night In Old Mandalay||In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.|Highball glass|https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg|"{""Light rum"": ""1 oz "", ""Añejo rum"": ""1 oz "", ""Ginger ale"": ""3 oz "", ""Lemon peel"": ""1 twist of "", ""Lemon juice"": ""1/2 oz "", ""Orange juice"": ""1 oz ""}"
6|Acapulco||Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg|"{""Mint"": ""1 "", ""Sugar"": ""1 tsp "", ""Egg white"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Lime juice"": ""1 tblsp "", ""Triple sec"": ""1 1/2 tsp ""}"
7|Apricot Lady||In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg|"{""Orange"": ""1 "", ""Egg white"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Triple sec"": ""1 tsp "", ""Lemon juice"": ""1/2 oz "", ""Apricot brandy"": ""1 oz ""}"
8|Bacardi Cocktail||Shake together with ice. Strain into glass and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg|"{""Grenadine"": ""1 dash "", ""Light rum"": ""1 3/4 oz Bacardi "", ""Lime juice"": ""1 oz "", ""Sugar syrup"": ""1/2 tsp ""}"
9|Banana Daiquiri||Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.|Champagne flute|https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg|"{""Sugar"": ""1 tsp "", ""Banana"": ""1 "", ""Cherry"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Lime juice"": ""1 1/2 oz "", ""Triple sec"": ""1 tblsp ""}"
10|Between The Sheets||Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg|"{""Brandy"": ""1 oz "", ""Light rum"": ""1 oz "", ""Triple sec"": ""1 oz "", ""Lemon juice"": ""1 oz ""}"
11|Boston Sidecar||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg|"{""Lime"": ""Juice of 1/2 "", ""Brandy"": ""3/4 oz "", ""Light rum"": ""3/4 oz "", ""Triple sec"": ""3/4 oz ""}"
12|Caribbean Boilermaker||Pour the Corona into an 18oz beer glass pour the rum into the beer.|Beer pilsner|https://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg|"{""Corona"": ""1 bottle "", ""Light rum"": ""1 shot ""}"
13|Casa Blanca||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg|"{""Light rum"": ""2 oz "", ""Lime juice"": ""1 1/2 tsp "", ""Triple sec"": ""1 1/2 tsp "", ""Maraschino liqueur"": ""1 1/2 tsp ""}"
14|Cherry Rum||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg|"{""Light rum"": ""1 1/4 oz "", ""Light cream"": ""1 tblsp "", ""Cherry brandy"": ""1 1/2 tsp ""}"
15|Chicago Fizz||Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg|"{""Port"": ""1 oz "", ""Lemon"": ""Juice of 1/2 "", ""Egg white"": ""1 "", ""Light rum"": ""1 oz "", ""Powdered sugar"": ""1 tsp "", ""Carbonated water"": null}"
16|Cranberry Cordial||Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg|"{""Sugar"": ""3/4 L "", ""Light rum"": ""1/2 L "", ""Cranberries"": ""1/2 kg chopped ""}"
17|Cuba Libre||Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.|Highball glass|https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg|"{""Lime"": ""Juice of 1/2 "", ""Coca-Cola"": null, ""Light rum"": ""2 oz ""}"
18|Daiquiri||Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg|"{""Lime"": ""Juice of 1/2 "", ""Light rum"": ""1 1/2 oz "", ""Powdered sugar"": ""1 tsp ""}"
19|Frozen Daiquiri||Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.|Champagne flute|https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg|"{""Ice"": ""1 cup crushed "", ""Sugar"": ""1 tsp "", ""Cherry"": ""1 "", ""Light rum"": ""1 1/2 oz "", ""Lime juice"": ""1 1/2 oz "", ""Triple sec"": ""1 tblsp ""}"
20|Frozen Mint Daiquiri||Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg|"{""Mint"": ""6 "", ""Sugar"": ""1 tsp "", ""Light rum"": ""2 oz "", ""Lime juice"": ""1 tblsp ""}"
22|Havana Cocktail||In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg|"{""Light rum"": ""1 oz "", ""Lemon juice"": ""1 tsp "", ""Pineapple juice"": ""1 oz ""}"
23|Imperial Fizz||Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg|"{""Lemon"": ""Juice of 1/2 "", ""Light rum"": ""1/2 oz "", ""Powdered sugar"": ""1 tsp "", ""Blended whiskey"": ""1 1/2 oz "", ""Carbonated water"": null}"
24|Jamaica Kiss||Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.|Hurricane glass|https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg|"{""Ice"": ""cubes"", ""Milk"": null, ""Light rum"": ""1 shot Jamaican "", ""Coffee liqueur"": ""1 shot ""}"
25|Long Island Iced Tea||Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.|Highball glass|https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg|"{""Gin"": ""1/2 oz "", ""Vodka"": ""1/2 oz "", ""Tequila"": ""1/2 oz "", ""Coca-Cola"": ""1 dash "", ""Light rum"": ""1/2 oz "", ""Lemon peel"": ""Twist of ""}"
26|Long Island Tea||Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg|"{""Gin"": ""1/2 oz "", ""Lemon"": ""Juice of 1/2 "", ""Vodka"": ""1/2 oz "", ""Tequila"": ""1/2 oz "", ""Coca-Cola"": ""1 splash "", ""Light rum"": ""1/2 oz ""}"
27|Mai Tai||Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.|Collins glass|https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg|"{""Cherry"": ""1 "", ""Light rum"": ""1 oz "", ""Triple sec"": ""1/2 oz "", ""Orgeat syrup"": ""1/2 oz "", ""Sweet and sour"": ""1 1/2 oz ""}"
28|Mary Pickford||Shake and strain into a chilled large cocktail glass|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg|"{""Grenadine"": ""1/2 tsp "", ""Light rum"": ""1 1/2 oz "", ""Pineapple juice"": ""1 oz "", ""Maraschino cherry"": ""1 "", ""Maraschino liqueur"": ""1/2 tsp ""}"
29|Mississippi Planters Punch||Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg|"{""Lemon"": ""Juice of 1/2"", ""Brandy"": ""1 oz "", ""Bourbon"": ""1/2 oz "", ""Light rum"": ""1/2 oz "", ""Powdered sugar"": ""1 tblsp"", ""Carbonated water"": null}"
30|Mojito||Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.|Highball glass|https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg|"{""Lime"": ""Juice of 1 "", ""Mint"": ""2-4 "", ""Sugar"": ""2 tsp "", ""Light rum"": ""2-3 oz "", ""Soda water"": null}"
31|Monkey Wrench||Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg|"{""Bitters"": ""1 dash "", ""Light rum"": ""1 1/2 oz "", ""Grapefruit juice"": ""3 oz ""}"
32|Pina Colada||Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/upgsue1668419912.jpg|"{""Light rum"": ""3 oz "", ""Pineapple"": ""3 tblsp "", ""Coconut milk"": ""3 tblsp ""}"
33|Quaker's Cocktail||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg|"{""Lemon"": ""Juice of 1/4 "", ""Brandy"": ""3/4 oz "", ""Light rum"": ""3/4 oz "", ""Raspberry syrup"": ""2 tsp ""}"
34|Quarter Deck Cocktail||Stir all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg|"{""Lime"": ""Juice of 1/2 "", ""Sherry"": ""1/3 oz cream "", ""Light rum"": ""1 1/2 ""}"
35|Rum Milk Punch||Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg|"{""Milk"": ""1 cup "", ""Nutmeg"": null, ""Light rum"": ""2 oz "", ""Powdered sugar"": ""1 tsp ""}"
36|Rum Old-fashioned||Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg|"{""Water"": ""1 tsp "", ""Bitters"": ""1 dash "", ""Light rum"": ""1 1/2 oz "", ""Lime peel"": ""Twist of "", ""151 proof rum"": ""1 tsp "", ""Powdered sugar"": ""1/2 tsp ""}"
37|Rum Screwdriver||Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/4c85zq1511782093.jpg|"{""Light rum"": ""1 1/2 oz "", ""Orange juice"": ""5 oz ""}"
38|Rum Sour||In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg|"{""Sugar"": ""1/2 tsp superfine "", ""Orange"": ""1 "", ""Light rum"": ""2 oz "", ""Lemon juice"": ""1 oz "", ""Maraschino cherry"": ""1 ""}"
39|Shanghai Cocktail||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg|"{""Lemon"": ""Juice of 1/4 "", ""Anisette"": ""1 tsp "", ""Grenadine"": ""1/2 tsp "", ""Light rum"": ""1 oz Jamaican ""}"
40|Strawberry Daiquiri||Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg|"{""Light rum"": ""1 oz "", ""Lime juice"": ""1 oz "", ""Strawberries"": ""1 oz "", ""Powdered sugar"": ""1 tsp "", ""Strawberry schnapps"": ""1/2 oz ""}"
41|The Evil Blue Thing||"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg|"{""Light rum"": ""1/2 oz "", ""Blue Curacao"": ""1 oz "", ""Creme de Cacao"": ""1 1/2 oz ""}"
43|Van Vleet||Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg|"{""Light rum"": ""3 oz "", ""Lemon juice"": ""1 oz "", ""Maple syrup"": ""1 oz ""}"
44|Vesuvio||Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg|"{""Lemon"": ""Juice of 1/2 "", ""Egg white"": ""1 "", ""Light rum"": ""1 oz "", ""Powdered sugar"": ""1 tsp "", ""Sweet Vermouth"": ""1/2 oz ""}"
45|A. J.||Shake ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg|"{""Applejack"": ""1 1/2 oz "", ""Grapefruit juice"": ""1 oz ""}"
46|Applecar||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg|"{""Applejack"": ""1 oz "", ""Triple sec"": ""1 oz "", ""Lemon juice"": ""1 oz ""}"
47|69 Special||Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg|"{""Gin"": ""2 oz dry "", ""7-Up"": ""4 oz "", ""Lemon juice"": ""0.75 oz ""}"
48|A1||Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg|"{""Gin"": ""1 3/4 shot "", ""Grenadine"": ""1/8 Shot"", ""Lemon Juice"": ""1/4 Shot"", ""Grand Marnier"": ""1 Shot ""}"
49|Abbey Cocktail||Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/mr30ob1582479875.jpg|"{""Gin"": ""1 1/2 oz "", ""Cherry"": ""1 "", ""Orange"": ""Juice of 1/4 "", ""Orange bitters"": ""1 dash ""}"
50|Abbey Martini||Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg|"{""Gin"": ""2 shots "", ""Orange Juice"": ""1 shot "", ""Sweet Vermouth"": ""1 shot "", ""Angostura Bitters"": ""3 dashes ""}"
51|Ace||Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.|Martini Glass|https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg|"{""Gin"": ""2 shots "", ""Milk"": ""1/2 shot"", ""Egg White"": ""1/2 Fresh"", ""Grenadine"": ""1/2 shot "", ""Heavy cream"": ""1/2 shot ""}"
52|Adam & Eve||Shake together all the ingredients and strain into a cold glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg|"{""Gin"": ""1 shot "", ""Cognac"": ""1 shot "", ""Creme de Cassis"": ""1 shot "", ""Fresh Lemon Juice"": ""1/8 shot ""}"
53|Addison||Shake together all the ingredients and strain into a cold glass.|Martini Glass|https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg|"{""Gin"": ""1 1/2 shot "", ""Vermouth"": ""1 1/2 shot ""}"
54|Alaska Cocktail||Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg|"{""Gin"": ""1 1/2 oz "", ""Lemon peel"": ""Twist of "", ""Orange bitters"": ""2 dashes "", ""Yellow Chartreuse"": ""3/4 oz ""}"
55|Alexander||Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg|"{""Gin"": ""1/2 oz "", ""Nutmeg"": null, ""Light cream"": ""2 oz "", ""Creme de Cacao"": ""1/2 oz white ""}"
56|Allies Cocktail||Stir all ingredients with ice, strain contents into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg|"{""Gin"": ""1 oz "", ""Kummel"": ""1/2 tsp "", ""Dry Vermouth"": ""1 oz ""}"
57|Angel Face||Shake all ingredients with ice and strain contents into a cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/vaukir1606772580.jpg|"{""Gin"": ""1 oz "", ""Apple brandy"": ""1/2 oz "", ""Apricot brandy"": ""1/2 oz ""}"
58|Archbishop||In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/4g6xds1582579703.jpg|"{""Gin"": ""2 oz "", ""Lime"": ""1 "", ""Wine"": ""1 oz Green Ginger "", ""Benedictine"": ""1 tsp ""}"
59|Army special||Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg|"{""Gin"": ""30 ml "", ""Ice"": ""1/2 glass crushed "", ""Vodka"": ""30 ml "", ""Lime juice cordial"": ""45 ml ""}"
60|Arthur Tompkins||In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg|"{""Gin"": ""2 oz "", ""Lemon peel"": ""1 twist of "", ""Lemon juice"": ""2 tsp "", ""Grand Marnier"": ""1/2 oz ""}"
61|Artillery||Stir all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg|"{""Gin"": ""1 1/2 oz "", ""Bitters"": ""2 dashes "", ""Sweet Vermouth"": ""1 1/2 tsp ""}"
62|AT&T||Pour Vodka and Gin over ice, add Tonic and Stir|Highball Glass|https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg|"{""Gin"": ""1 oz "", ""Tonic water"": ""4 oz "", ""Absolut Vodka"": ""1 oz ""}"
63|Aviation||Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg|"{""Gin"": ""4.5 cl"", ""lemon juice"": ""1.5 cl"", ""maraschino liqueur"": ""1.5 cl""}"
64|Bermuda Highball||Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)|Highball glass|https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg|"{""Gin"": ""3/4 oz "", ""Brandy"": ""3/4 oz "", ""Lemon peel"": null, ""Dry Vermouth"": ""3/4 oz "", ""Carbonated water"": null}"
65|Bijou||"Stir in mixing glass with ice and strain
"|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg|"{""Gin"": ""1 oz"", ""Orange Bitters"": ""1 dash"", ""Sweet Vermouth"": ""1 oz"", ""Green Chartreuse"": ""1 oz""}"
67|Bombay Cassis||"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice."|Balloon Glass|https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg|"{""Gin"": ""50 ml"", ""Lime"": ""1"", ""Ginger"": ""1 long strip"", ""Ginger beer"": ""75 ml"", ""Creme de Cassis"": ""20 ml"", ""Fresh Lime Juice"": ""15 ml""}"
68|Boomerang||In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg|"{""Gin"": ""2 oz "", ""Bitters"": ""2 dashes "", ""Dry Vermouth"": ""1/2 oz "", ""Maraschino cherry"": ""1 "", ""Maraschino liqueur"": ""1/2 tsp ""}"
69|Boxcar||In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg|"{""Gin"": ""1 1/2 oz "", ""Egg white"": ""1 "", ""Grenadine"": ""1/2 tsp "", ""Triple sec"": ""1 oz "", ""Lemon juice"": ""1 tsp ""}"
70|Bramble||Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.|Old-Fashioned glass|https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg|"{""Gin"": ""4 cl"", ""Sugar syrup"": ""1 cl"", ""lemon juice"": ""1.5 cl"", ""Creme de Mure"": ""1.5 cl""}"
71|Casino||Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg|"{""Gin"": ""2 oz "", ""Cherry"": ""1 "", ""Lemon juice"": ""1/4 tsp "", ""Orange bitters"": ""2 dashes "", ""Maraschino liqueur"": ""1/4 tsp ""}"
72|Casino Royale||In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg|"{""Gin"": ""2 oz "", ""Egg yolk"": ""1 "", ""Lemon juice"": ""1/2 oz "", ""Orange bitters"": ""1 dash "", ""Maraschino liqueur"": ""1 tsp ""}"
73|Cherry Electric Lemonade||Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.|Pint glass|https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg|"{""Gin"": ""1 oz"", ""Vodka"": ""1 oz"", ""Tequila"": ""1 oz"", ""Club soda"": ""3 oz"", ""White rum"": ""1 oz"", ""Triple Sec"": ""1 oz"", ""Sweet and sour"": ""1 oz"", ""Cherry Grenadine"": ""1 oz""}"
74|Clover Club||Dry shake ingredients to emulsify, add ice, shake and served straight up.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg|"{""Gin"": ""1 1/2 oz "", ""Lemon"": ""Juice of 1/2 "", ""Egg white"": ""1 "", ""Grenadine"": ""2 tsp ""}"
75|Corpse Reviver||"Shake, strain, straight up, cocktail glass rinsed with absinthe
"|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg|"{""Gin"": ""3/4 oz"", ""Absinthe"": ""1 dash"", ""Triple Sec"": ""3/4 oz"", ""Lemon Juice"": ""3/4 oz"", ""Lillet Blanc"": ""3/4 oz""}"
76|Derby||Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg|"{""gin"": ""6 cl"", ""Mint"": ""2 Fresh leaves"", ""Peach Bitters"": ""2 dashes""}"
77|Dragonfly||In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.|Highball glass|https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg|"{""Gin"": ""1 1/2 oz "", ""Lime"": ""1 "", ""Ginger ale"": ""4 oz ""}"
78|Dry Martini||Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg|"{""Gin"": ""1 2/3 oz "", ""Olive"": ""1 "", ""Dry Vermouth"": ""1/3 oz ""}"
79|Dubonnet Cocktail||Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg|"{""Gin"": ""3/4 oz "", ""Bitters"": ""1 dash "", ""Lemon peel"": ""1 twist of "", ""Dubonnet Rouge"": ""1 1/2 oz ""}"
80|English Highball||Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)|Highball glass|https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg|"{""Gin"": ""3/4 oz "", ""Brandy"": ""3/4 oz "", ""Lemon peel"": null, ""Sweet Vermouth"": ""3/4 oz "", ""Carbonated water"": null}"
81|English Rose Cocktail||Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg|"{""Gin"": ""1 1/2 oz "", ""Cherry"": ""1 "", ""Grenadine"": ""1 tsp "", ""Lemon juice"": ""1/4 tsp "", ""Dry Vermouth"": ""3/4 oz "", ""Apricot brandy"": ""3/4 oz ""}"
